,,,,,,,,,
Row ID,Category,Instruction,Context,Resonse,accuracy_score,helpfulness_score,relevance_score,safety_score,Notes
1,classification,Tell me whether or not these foods are on EWG's dirty dozen list,,"avocados, kiwi, pairs, blueberries, green beans, kale, cabbage",2,2,3,5,Response lists foods but does not identify which are on the EWG's Dirty Dozen; it also contains a typo.
2,classification,"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",,Guitar - String Violin - String piano - keyboard harmonium - keyboard cello - string accordion - keyboard banjo - string,5,5,5,5,
3,classification,"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",,"mammal- tiger, rhinoceros, dog, cat bird- heron, kingfisher, eagle reptile- snake, alligator, chameleon inset- spider, ant, hornet, butterfly",4,4,5,5,Typo
4,classification,"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",,All except park are places to await for transportation,5,5,5,5,
5,classification,"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",,David Guetta: DJ Avicii: DJ Rihanna: Singer Beyonce: Singer Martin Garrix: DJ Calvin Harris: DJ Taylor Swift: Singer,5,5,5,5,
6,brainstorming,Give me a list of the best bravo tv shows,,"Real housewives of Beverly Hills, vanderpump rules, southern charm, real housewives of Orange County, real housewives of New York, summer house, winter house",4,5,5,5,"Subjective request, 'best' is opinion based."
7,brainstorming,Give me some ideas of kids items to stuff into Easter eggs.,,"Here are some kids items that you might consider for your next Easter egg hunt: stickers, playdoh, bouncy balls, bubbles, coins, special rocks or gems, candy, other small toys",5,5,5,5,
8,brainstorming,Give me a bullet list of some popular dashboard and visualisation tools,,"- Microsoft Power BI. It integrates very well with Microsoft office ecosystem and simple to use and get started - Tableau. Although having the same value proposition as that of Power BI, analysts generally prefer it when they need to create powerful and complex dashboards. Like Power Bi, it also supports tons of data connectors. - Metabase. It is an open-source BI and data visualization tool which is good for getting your team started with a baseline dashboard layer. - Datapad. This tool recently started to gain popularity for KPI dashboards. Thanks to its mobile-first KPI dashboard, it is ideal for small to medium enterprises and a lot of solopreneurs uses it to manage their business KPIs.",5,5,5,5,
9,brainstorming,Give me 5 ways to use a ripe avocado,,"1. Avocado toast (if you’re feeling adventurous, add garlic oil and pepper and use sourdough bread) 2. Guacamole (possible additives include: garlic, salt, red onions, tomatoes and lime juice) 3. Diced on your favorite taco 4. Blended in a smoothie (you can also freeze avocado cubes and add to smoothies later) 5. Cubed or sliced with a little salt and pepper on a pretzel cracker",5,5,5,5,
10,closed_qa,"What is an string instrument that is similar to a Violin, but larger in size and with a lower and deeper sound?","The viola (/viˈoʊlə/ vee-OH-lə, also UK: /vaɪˈoʊlə/ vy-OH-lə, Italian: [ˈvjɔːla, viˈɔːla]) is a string instrument that is bowed, plucked, or played with varying techniques. Slightly larger than a violin, it has a lower and deeper sound. Since the 18th century, it has been the middle or alto voice of the violin family, between the violin (which is tuned a perfect fifth above) and the cello (which is tuned an octave below). The strings from low to high are typically tuned to C3, G3, D4, and A4.",The instrument you are looking for is a Viola.,5,5,5,5,
11,closed_qa,In what year did Apple debut the 'Mac Operating System'?,"In 1984, Apple debuted the operating system that is now known as the """"Classic"""" Mac OS with its release of the original Macintosh System Software. The system, rebranded """"Mac OS"""" in 1997, was pre-installed on every Macintosh until 2002 and offered on Macintosh clones for a short time in the 1990s. Noted for its ease of use, it was also criticized for its lack of modern technologies compared to its competitors. The current Mac operating system is macOS, originally named """"Mac OS X"""" until 2012 and then """"OS X"" until 2016. Developed between 1997 and 2001 after Apple's purchase of NeXT, Mac OS X brought an entirely new architecture based on NeXTSTEP, a Unix system, that eliminated many of the technical challenges that the classic Mac OS faced. The current macOS is pre-installed with every Mac and receives a major update annually. It is the basis of Apple's current system software for its other devices – iOS, iPadOS, watchOS, and tvOS.","In 1984, Apple debuted the operating system that is now known as the ""Classic"" Mac OS",5,5,5,5,
12,closed_qa,"Given this paragraph about Africa, why Africa's per capita GDP is low?","Africa is the world's second-largest and second-most populous continent, after Asia in both aspects. At about 30.3 million km2 (11.7 million square miles) including adjacent islands, it covers 20% of Earth's land area and 6% of its total surface area. With 1.4 billion people as of 2021, it accounts for about 18% of the world's human population. Africa's population is the youngest amongst all the continents; the median age in 2012 was 19.7, when the worldwide median age was 30.4. Despite a wide range of natural resources, Africa is the least wealthy continent per capita and second-least wealthy by total wealth, behind Oceania. Scholars have attributed this to different factors including geography, climate, tribalism, colonialism, the Cold War, neocolonialism, lack of democracy, and corruption. Despite this low concentration of wealth, recent economic expansion and the large and young population make Africa an important economic market in the broader global context.","While there are several reasons high population growth, corruption and colonialism and neocolonialism are some of the the factors.",4,4,5,5,Captures several factors from the context but gives a very compressed explanation.
13,closed_qa,Which team has drafted Nkem-Nkechukwu Ojougboh?,"Nkem-Nkechukwu Ojougboh (born August 11, 1987) is Nigerian professional basketball player. He was drafted in the second round (ninth pick) at the 2010 NBA Development League Draft by the Utah Flash, an affiliate of the Utah Jazz and Atlanta Hawks. Collegiately, Ojougboh played for the Northeastern University Huskies men's basketball team from 2007-2010 and for the University of Texas San Antonio in 2005. He played for the NBA Development League team Utah Flash in the 2010/11 NBA D-League season, and for the Tulsa 66ers in 2011/12. Ojougboh was named to the CAA All-Academic First Team from 2005-2008. Ojougboh is the son of Cairo Ojougboh and Grace Ojougboh. He has two brothers Omam Ojougboh, Orieka Ojougboh and a sister Rimma Ojougboh. Out of high school, Ojougboh committed to the University of Texas at San Antonio, after also being recruited by Boise State, Cornell University, Harvard University, Arizona State University and Washington State. He transferred to Northeastern after his Freshman campaign at University of Texas San Antonio.",Nkem-Nkechukwu Ojougboh was drafted by the Utah Flash in 2010.,5,5,5,5,
14,brainstorming,Give me list of top 10 countries by GDP,,"Below is the list of top 10 countries by GDP in 2023:

1.	United States (approx. 26.2 trillion USD)
2.	China (approx. 19.2 trillion USD)
3.	Japan (approx. 4.4 trillion USD)
4.	Germany (approx. 4.1 trillion USD)
5.	India (approx. 3.8 trillion USD)
6.	United Kingdom (approx. 3.5 trillion USD)
7.	France (approx. 2.8 trillion USD)
8.	Canada (approx. 2.3 trillion USD)
9.	Russia (approx. 2.1 trillion USD)
10.	Brazil (approx. 2 trillion USD)",4,5,5,5,
15,brainstorming,What are some ways in which I can use a pen for other than writing?,,"Here are some ways in which you could use a pen for anything other than writing: 

- you could use it to punch holes into bubble wrap 
- you could use it as a weapon 
- you could use a hollow pen as a straw 
- you could use it as a cover for pointed objects 
- you could use it for practicing pen spinning 
- you could use the nib as a tooth pick 
- you could use the nib to open the sim card tray on your phone",5,4,5,4,"One suggestion frames the pen as a weapon, which is unnecessary, though the overall content is low risk."
16,general_qa,What are some of the benefits of learning flute as a child,,"It improves cognitive skills, helps develop fine motor skills, promotes social interaction,  provides a creative outlet. It can be a lifelong hobby. Children who learn the flute often continue to play it throughout their lives. They may even become professional musicians.",5,5,5,5,
17,information_extraction,Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name},"The 56.5 acres (22.9 ha) park is an example of a Depression Era public works project that was constructed between 1936 and 1938 by the Works Progress Administration (WPA). James Depew Edmundson, an Iowa attorney who grew up in Oskaloosa, gave a $20,000 bequest to the city to establish a park. City engineer Don Russell saw the New Deal program as an opportunity to add value to the project. The park is the work of landscape architect Ray F. Wyrick. Its structures were designed in the rustic style that was promoted by the National Park Service between 1916 and 1942 for parks supported by all levels of government.","• James Depew Edmundson
• Don Russell
• Ray F. Wyrick",5,5,5,5,
18,general_qa,What are brambles?,,"A bramble is any rough, tangled, prickly shrub, usually in the genus Rubus, which grows blackberries, raspberries, or dewberries. ""Bramble"" is also used to describe other prickly shrubs, such as roses (Rosa species). The fruits include blackberries, arctic brambleberries, or raspberries, depending on the species, and are used to make jellies, jams, and preserves.",5,5,5,5,
19,classification,"Tell me whether these states are in Eastern Time, Central Time, or neither",,"California, Oregon, Connecticut, Washington, Texas, Hawaii",1,1,1,5,The response only repeats the states and does not classify them.
20,brainstorming,8 Simple Ways to Adopt a Healthy and sustainable Eating Pattern,,"Include more whole foods in Diet
Try to avoid crash diet
Get Professional help in beginning
Include and surround yourself with healthy foods
Include healthy snack and carry it with you
Plan alternative before going out
Monitor yourself your progress and be patient
Break old Habits one at a time",4,4,5,5,"Relevant ideas, though some advice is vague."
21,open_qa,What is brackish water and where does it occur?,,"Brackish water is water which is a mixture of freshwater and seawater, and is often found in bays or estuaries",5,5,5,5,
